Track,Group
Alphabeat - Boyfriend,Danish
Aqua - Back To The 80's,Danish
Aqua - Barbie Girl,Danish
Aqua - Happy Boys & Girls,Danish
Bamses Venner - Kongens Have,Danish
Bamses Venner - Vimmersvej,Danish
Bring Det På - Ring Til Politiet,Danish
DR Big Band & Kommunemanden & Motor Mille - Tro På Os To,Danish
Hva' Snakker Du Om? & Anders Matthesen & Bossy Bo - Min Store Kærlighed,Danish
Kim & Hallo - Du Ligner Din Mor,Danish
Kim & Hallo - Du ligner din mor,Danish
Lizzie - Ramt I Natten,Danish
Nik & Jay - Boing!,Danish
Nik & Jay - Nik Og Jay,Danish
Ondt I Håret - Kandis 18,Danish
Rasmus Seebach - Øde Ø,Danish
Ray Dee Ohh - Jeg Vil La' Lyset Brænde,Danish
Rocazino - All my love,Danish
Rocazino - Ridder Lykke,Danish
Safri Duo & Clark Anderson - All The People In The World,Danish
Safri Duo - Played-A-Live,Danish
Sanne Salomonsen - Taxa,Danish
Suspekt - Gonzo,Danish
"Søs Fenger, Thomas Helmig, Sanne Salomonsen & Anne Linnet - Den Jeg Elsker, Elsker Jeg",Danish
Tessa - Ben,Danish
Tobias Rahim & andreas odbjerg - STOR MAND,Danish
Tommy Seebach - Hip Hurra - Det' Min Fødselsdag,Danish
Tørfisk - VLTJ,Danish
tv·2 - De Første Kærester På Månen,Danish
Østkyst Hustlers - Han Får For Lidt,Danish
2 UNLIMITED - Get Ready For This,English
666 - ALARMA!,English
666 - Bomba !,English
A1 - Caught in the Middle,English
ATB - Killer 2000,English
Ace of Base - All That She Wants,English
Ace of Base - The Sign,English
American Authors - Best Day Of My Life,English
Bassjackers - Wake The F Up,English
Billie Eilish - i love you,English
Bob Sinclar - Rock This Party,English
Boney M. - Daddy Cool,English
Bryan Adams - Summer Of '69,English
Can't Hold Us feat. Ray Dalton - Macklemore & Ryan Lewis,English
Cascada - Everytime We Touch,English
Corona - The Rhythm of the Night,English
Cut 'N' Move - I'm Alive,English
DJ Aligator Project - Davaj Davaj,English
DJ Quicksilver - Bellissima,English
DJ Tiesto - Insomnia - YouTube[via torchbrowser 0,English
Danseorkestret - Kom Tilbage Nu,English
David Guetta & Bebe Rexha - I'm Good (Blue),English
Diskofil - Hej Smukke,English
Dj Tiesto - Extacy - YouTube[via torchbrowser,English
Dj Tiesto Traffic - YouTube[via torchbrowser,English
Duffy - Mercy,English
E-Type - Life ft. Nana Hedin,English
"Earth, Wind & Fire, The Emotions - Boogie Wonderland",English
Eye Q - I Want What She's Got,English
F4ST & Cornetto - Pedro Pedro Pedro,English
FISSELIS - Luder,English
Fede Finn & Funny Boyz - Volvo B 18-210,English
French Affair - My Heart Goes Boom,English
French Affair - Sexy,English
Gina G - Just A Little Bit,English
Guns N' Roses - Paradise City,English
Hozier - Too Sweet,English
James Sampson - Dream On,English
Kandis - Lonnie Fra Berlin,English
Kim Larsen - Fru Sauterne,English
Kim Larsen - Joanna,English
Kim Larsen - Midt om natten,English
Kongsted - Drunk Smiley Guy,English
"Laban - Dit Navn, Dit Nummer",English
Laban - Hvor skal vi sove i nat - - ),English
Laban - Kold som is - Full version ),English
Madonna - Hung Up,English
Me & My - Dub-I-Dub,English
Metallica - Enter Sandman,English
Michael Jackson - Chicago,English
Miley Cyrus - Flowers,English
Morten Hampenberg & Alexander Brown feat. Yepha - Det Stikker Helt Af,English
Nickelback - How You Remind Me,English
OPUS - Live Is Life,English
Odense Assholes - Tovepigen,English
Paradisio - Bailando,English
Paradisio Ft Maria Garcia & Dj Patrick Samoy - Bailando - 1997 International,English
Pump Up The Mwaki - 2024 DJ Doolie Mashup,English
Queen - Crazy Little Thing Called Love,English
ROSÉ & Bruno Mars - APT.,English
Rage Against The Machine - Killing In The Name,English
Rasmus Seebach - Lidt I Fem,English
Rasmus Seebach - Livstegn,English
Robert Miles - Children,English
Rollergirl - Superstar,English
Sabrina Carpenter - Espresso,English
Sash! - Ecuador,English
Sminkedukken - Sminkedukke Sangen,English
Sugar Station - Roller Coaster,English
Technotronic - Pump Up The Jam,English
Tempo & MGP - Lyst Til At Hop',English
Ude Af Kontrol - FuckBoi,English
Viro - Adam,English
Willy William x Vengaboys - Boom Boom Boom Boom !!,English
Zididada - Zididada Day,English
a-ha - Take On Me [Remastered in 4K],English
