Repeats,Track
2,Dasha - Austin
2,"David Guetta, Alphaville and Ava Max - Forever Young"
2,Mark Ambor - Belong Together
2,Christopher - Lose A You
2,Myles Smith - Nice To Meet You
2,Benson Boone - Beautiful Things
2,Lady GaGa and Bruno Mars - Die With A Smile
2,Alex Warren - Ordinary
1,Tones and I - Fly Away
1,eminem - Lose Yourself
1,David Guetta and Bebe Rexha - I'm Good
1,Myles Smith - Stargazing
1,Coldplay - feelslikeimfallinginlove
1,Ava Max - Sweet But Psycho
1,Ed Sheeran - Bad Habits
1,Drew Sycamore - Another Lovesong
1,The Weeknd - Blinding Lights
1,Zara Larsson - Lush Life
1,Mario - Let Me Love You
1,Black Eyed Peas - Where Is The Love
1,JENNIE ft. Dua Lipa - Handlebars
1,Drew Sycamore - Change The World
1,Rose and Bruno Mars - Apt.
1,James Morrison and Nelly Furtado - Broken Strings
1,Drew Sycamore - Lonely Heat
1,Drew Sycamore - 45 Fahrenheit Girl
1,The Kid LAROI ft. Justin Bieber - Stay
1,Billie Eilish - Birds Of A Feather
1,Chriz ft. Nadia Gattas - The Weekend
1,Ed Sheeran - Shape Of You
1,Agnes - Release Me
1,Maroon 5 ft. Christina Aguilera - Moves Like Jagger
1,"Pitbull ft. Ne-yo, Afrojack and Nayer - Give Me Everything"
1,Rihanna - Only Girl
1,Owl City and Carly Rae Jepsen - Good Time
1,Taylor Swift - The Man
1,James Bay - Hold Back The River
1,Post Malone ft. Morgan Wallen - I Had Some Help
1,Avicii ft. Aloe Blacc - Wake Me Up
1,Mary J. Blige - Family Affair
1,Westlife - World Of Our Own
1,Fergie - Big Girls Don't Cry
1,Teddy Swims - Lose Control
1,Lewis Capaldi - Someone You Loved
1,The Weeknd - Dancing In The Flames
1,Ariana Grande - One Last Time
1,Ne-Yo - Miss Independent
1,Lady GaGa - Poker Face
1,eminem - Houdini
1,Mimi Webb - Ghost Of You
1,Morgan Wallen ft. Tate McRae - What I Want
1,Alex Warren ft. Ella Henderson - Carry You Home
1,Felix Jaehn ft. Jasmine Thompson - Ain't Nobody
1,Kygo and Ava Max - Whatever
1,Shawn Mendes - Mercy
1,Ed Sheeran - Azizam
1,B.O.B. ft. Hayley Williams - Airplanes
1,Noah Kahan - Stick Season
1,The Calling - Wherever You Will Go
1,Macklemore and Ryan Lewis ft. Ray Dalton - Can't Hold Us
1,Lukas Graham - Take the World by Storm
1,Dasha - Not At This Party
